videoid|title|description|keywords|creationyear|sound|color|duration|durationsec|sponsorname|contribName|language|genre|keyframeurl
3808|Freedom of the American Road (Part I)|Henry Ford II introduces this film designed to encourage private citizens to unite and support road improvement. Part of the lobbying campaign that culminated in legislation authorizing the Interstate Highway system in 1956, this film shows community efforts to improve and increase safety on the Bayshore Highway in the San Francisco Bay Area; congestion in Pittsburgh and the Golden Triangle redevelopment area; the economic benefits of Boston's circumferential highway, Route 128; and safety education in St. Joseph, Missouri. Narrator: Westbrook van Voorhis.|Infrastructure: Roads;San Francisco: Infrastructure;Manifest destiny;|1955|Yes|No|00:16:04|964|Ford Motor Company|Rick Prelinger|English|Ephemeral|06105a_11817.gif
4331|South Dakota Saga (Part I)|Gold mining and the life of gold miners in South Dakota, as seen by the mining company.|Mining;Metals: Gold;South Dakota: History and culture;|1940|Yes|No|00:15:15|915|Homestake Mining Company|Rick Prelinger|English|Ephemeral|07892a_04231.gif
5226|Green Pastures|"Mud animation by pioneer San Francisco Chinese American animator Joseph Sunn. From the """"Ralph Wolfe's Mud Stuff"""" series."|Animation: Mud; Chinese Americans; Animation: Stop-motion;|1926|Yes|No|00:05:22|322|Sunn (Joseph)|Rick Prelinger|English|Ephemeral|GreenPas1926_00023000.gif
4253|Rochester: A City of Quality (Part II)|Tour of the area, concentrating on redevelopment and economic activity.|Urban renewal;Rochester, N.Y.;|1963|Yes|Yes|00:14:54|894|Rochester Gas & Electric|Rick Prelinger|English|Ephemeral|08573b_00001.gif
4163|"Party Magic (Beich Screen Ad--""Whiz"" Bar)"|Screen ad for Beich 'Whiz Bar' candy featuring teenagers and a magic trick.|Advertising: Screen Ads;Candy;Magic;|1938|Yes|No|00:01:00|60|Beich Company|Rick Prelinger|English|Ephemeral|07780d_00014.gif
5757|Story of a Forest Ranger, The    -  Yogi says, Hi Ranger Smith.|The work of a forest ranger: forest management, maintenance, fire suppression; an excellent firefighting sequence.|Forest industry; Occupations: Forestry; Fires and firefighting;|1954|Yes|No|00:27:38|1658|U.S. Department of Agriculture|Rick Prelinger|English|Ephemeral|Storyofa1954_00133000.gif
3755|Emergency in Honduras|Efforts to protect the Honduran banana crop and market.|Honduras;Agriculture: Food industry;Agriculture: Bananas;|1945|Yes|No|00:21:31|1291|U.S. Office of the Coordinator of Inter-American Affairs|Rick Prelinger|English|Ephemeral|06026_01877.gif
3622|Chevrolet Leader News (Vol. 1, No. 3)|Promotional newsreels featuring a variety of Chevrolet-centric stories, including: heavy-duty trucks used in construction; St. Augustine, Florida, site of the oldest houses in America; old horseless carriage advertisements; a homemade streamlined house trailer in Guadalupe, California; auto interiors designed by new York jewelers; an Army convoy at Fort Sill, Oklahoma; and a Chihuahua dog standing in for a radiator ornament on a moving car in Grand Rapids, Michigan.|Car culture: Newsreels;Automobiles: Advertising;Animals: Dogs;|1935|Yes|No|00:08:18|498|Chevrolet Division, General Motors Corporation|Rick Prelinger|English|Ephemeral|07807_02252.gif
5277|Great Railroad at Work, A (Part I)|Everything there is to know about the New York, New Haven and Hartford Railroad.|Transportation: Railroad;|1942|Yes|No|00:24:56|1496|Handy (Jam) Organization|Rick Prelinger|English|Ephemeral|GreatRai1942_00073000.gif
3531|At This Moment (Part II)|Importance of railroads to 1950s AmeriDirected by Haford Kerbawy.|Transportation: Railroad;|1954|Yes|Yes|00:13:11|791|Westinghouse Air Brake Company|Rick Prelinger|English|Ephemeral|08168b_07674.gif
4400|To New Horizons|Definitive document of pre-World War II futuristic utopian thinking, as envisioned by General Motors. Documents the 'Futurama' exhibit in GM's 'Highways and Horizons' pavilion at the World's Fair, which looks ahead to the 'wonder world of 1960.'|Futurism;World's Fairs: New York, 1939-40;Infrastructure: Highways;|1940|Yes|Yes|00:22:59|1379|General Motors Corporation, Department of Public Relations|Rick Prelinger|English|Ephemeral|07906_12584.gif
3539|Auto-Lite on Parade|Tour of an auto parts and accessories factory climaxing with a stop-motion product parade.|Animation: Stop-motion;Manufacturing;|1940|Yes|No|00:22:32|1352|Electric Auto-Lite Company|Rick Prelinger|English|Ephemeral|07896_39811.gif
3851|Great New Star, A|Dinah Shore promotes the new Chevrolets and sings 'See the U.S.A. in your new Chevrolet.'|Automobiles: Advertising;|1952|Yes|No|00:12:05|725|Chevrolet Motor Division, General Motors Corporation|Rick Prelinger|English|Ephemeral|TN_11638-04.jpg
3684|Consumers Want to Know (Part II)|Inside the testing labs of Consumers Union, publisher of Consumer Reports.|Consumerism;|1960|Yes|No|00:14:33|873|Consumers Union of the United States|Rick Prelinger|English|Ephemeral|TN_05325b-11.jpg
5967|The Magic Wheel|Imginative and expansive telling of the history of the National Cash Register company told through a 25 year veteran of it's chemical engineering division.|Cash Registers; Chemical Industry;|1952|Yes|No|00:29:38|1778|Albert Kelly|Rick Prelinger|English|Ephemeral|magicwhe_00000060.gif
3437|All in One|Homage to the dog and comparison of canine attributes with Chevrolet features.|Animals: Dogs;Automobiles: Advertising;|1938|Yes|No|00:10:41|641|Chevrolet Division, General Motors Corporation|Rick Prelinger|English|Ephemeral|08927_04869.gif
3662|Coffee House Rendezvous (Part I)|Shows coffeehouses sponsored by churches and community organizations and how they function as gathering places for countercultural youth.|Youth culture;Coffee;|1969|Yes|Yes|00:12:40|760|Coffee Institute|Rick Prelinger|English|Ephemeral|01880a_00977.gif
3743|Dynamic American City, The (Part II)|Advocates urban redevelopment and renewal, 1950s-style. Supports many planning strategies which are criticized today: the destruction of 'blighted' neighborhoods in the name of progress, autocentric planning and construction, and suburban sprawl. |Infrastructure: Construction;City planning;Urban renewal;|1956|Yes|Yes|00:14:21|861|Chamber of Commerce of the United States|Rick Prelinger|English|Ephemeral|01811b_07501.gif
5837|[Amateur film: Night Rodeo, Gallup, New Mexico, 1951]|Nighttime action at an outdoor rodeo, shot on a cross-country road trip.|Amateur films; U; S; : West; Rural America;|1951|Yes|No|00:07:22|442|Spielvogel (Bert)|Rick Prelinger|English|Ephemeral|NightRod1951_06782.gif
3530|At This Moment (Part I)|Importance of railroads to 1950s AmeriDirected by Haford Kerbawy.|Transportation: Railroad;|1954|Yes|Yes|00:13:16|796|Westinghouse Air Brake Company|Rick Prelinger|English|Ephemeral|08168a_04140.gif
5120|Teddy|Presents the experiences of a teenage African American, who relates his views of the System, war, revolution, the Watts community of Los Angeles, the Black Panther Party and the police. The importance of the discussion is the necessity of being one's own self. Director: Richard Wells. Editor: Andrew Stein. Photographer: Robert Grant. Sound: Wendell Handy. Assistant Camera: Clifford Stewart. Production Manager: Edward Kutner. Assistant Production Manager: Gene Kopp. Executive Producer: George Schlosser. Producer: Peter Schnitzler.|African Americans; Psychology; Los Angeles;|1971|Yes|No|00:16:16|976|University of California at Los Angeles, Extension Media Center|Rick Prelinger|English|Ephemeral|Teddy1971_00020000.gif
4344|Star-Spangled Banner, The (Version II)|Technicolor image of American flag flying accompanied by words and music of U.S. national anthem.|Patriotism;National anthems: U.S.;Flags ;|1940|Yes|Yes|00:01:14|74|Unknown|Rick Prelinger|English|Ephemeral|06739c_00361.gif
4307|She Caught on Quick (Singer Screen Ad)|How to redecorate a worn-out-looking home with homesewn upholstery.|Advertising: Screen Ads;Sewing;Gender roles;|1940|Yes|Yes|00:01:15|75|Singer Company|Rick Prelinger|English|Ephemeral|07780h_01081.gif
5273|Boulder Dam (Parts III and IV)|Shows the beginning of construction on the Hoover Dam (later called Boulder Dam) project in southern Nevada. With excellent footage of Boulder City, the model housing community built to provide residences for project workers.|Infrastructure: Dams; Boulder Dam; Nevada;|1931|Yes|No|00:24:01|1441|U.S. Bureau of Reclamation in collaboration with Six Companies, Inc. and The Babcock &amp; Wilcox Company|Rick Prelinger|English|Ephemeral|BoulderD1931_2_00033000.gif
4425|True Experience of Officer Harold Sewell, The|Dramatized screen ad showing how a flashlight powered by Eveready batteries prevents a train wreck.|Advertising: Screen Ads;Transportation: Railroad;Batteries;|1938|Yes|No|00:01:19|79|National Carbon Co. (Eveready Batteries)|Rick Prelinger|English|Ephemeral|07780f_00013.gif
5742|News Magazine of the Screen, The (Vol. 7, Issue 1)|Newsreel stories reformatted for educational presentation.|Newsreels;|1956|Yes|No|00:22:23|1343|Warner Path&#xC3;&#xA9; News|Rick Prelinger|English|Ephemeral|NewsMaga_6_00000015.gif
3790|Flying with Arthur Godfrey (Part I)|TV host Arthur Godfrey takes controls of a passenger plane to demonstrate airline operations.|Aviation: Commercial;Transportation: Air;|1953|Yes|Yes|00:23:18|1398|Eastern Air Lines|Rick Prelinger|English|Ephemeral|01870a_16602.gif
4397|To Conserve Our Heritage (Part II)|Simultaneously promotes conservation, the fur industry, hunting and fishing.|Environment;Land use;Natural history;|1940|Yes|No|00:17:24|1044|U.S. Department of Agriculture|Rick Prelinger|English|Ephemeral|16056b_24361.gif
4028|Meats With Approval|Explains the purposes of the federal meat inspection program and how it helps to assure wholesome, clean meat for the consumer.|Meat: Inspection;Agriculture: Food industry: Meat;Health and hygiene;|1946|Yes|No|00:15:35|935|U.S. Department of Agriculture|Rick Prelinger|English|Ephemeral|19573_18601.gif
3934|International Moves the Browns to Sterling Street|Motivational film for International Silver salespeople describing how installment buying has made silver tableware available to a broad range of consumers.|Consumerism;Marriage;Sales training;|1941|Yes|Yes|00:19:48|1188|International Silver Company|Rick Prelinger|English|Ephemeral|TN_07914-05.jpg
5360|Progress Parade|"News release reflecting innovations and happenings from the petroleum industry. Includes a sequence on """"fishing"""" for a lost drill bit, soothing an infant with baby oil, how LP gas serves us in the home and on the job, how a """"Citadel"""" service station operator serves his community, and a research program at Louisiana State University that investigates (and finds no) effects on oysters from nearby oil drilling."|Oil industry; Occupations: Petroleum workers; Environment;|1960|Yes|No|00:13:15|795|Unknown|Rick Prelinger|English|Ephemeral|Progress1960_00043000.gif
5733|[International Frog Jump at Angels Camp, California]|"Famous frog-jumping contest memorialized in Mark Twain's short story """"The Celebrated Jumping Frog of Calaveras County."""" Newsreel story presenting the 100th anniversary of the contest."|Newsreels; Animals: Frogs; Angels Camp, California;|1950|Yes|No|00:01:00|60|Universal-International Newsreel|Rick Prelinger|English|Ephemeral|Internat1950_00002000.gif
4252|Rochester: A City of Quality (Part I)|Tour of the area, concentrating on redevelopment and economic activity.|Urban renewal;Rochester, N.Y.;|1963|Yes|Yes|00:11:33|693|Rochester Gas & Electric|Rick Prelinger|English|Ephemeral|08573a_11252.gif
4054|"Movie Trailers (""Independence Day, 1940"" Promotion)"|Patriotic trailer shown in theaters prior to the fourth of July, 1940.|Patriotism;Motion pictures: Trailers;World War II: Prewar preparedness;|1940|Yes|No|00:00:41|41|Unknown|Rick Prelinger|English|Ephemeral|06709_01081.gif
3629|Chevrolet Leader News (Vol. 4, No. 1)|Promotional newsreels featuring a variety of Chevrolet-centric stories.|Car culture: Newsreels;Automobiles: Advertising;|1938|Yes|No|00:07:29|449|Chevrolet Motor Company|Rick Prelinger|English|Ephemeral|07871_01942.gif
5910|China Under Communism|Foreign correspondent John Stroehm conducts a tour through the People's Republic of China.|China; Cold War;|1962|Yes|No|00:20:48|1248|Encyclopaedia Britannica Films|Rick Prelinger|English|Ephemeral|ChinaUnd1962_06443.gif
3812|Frigidaire Imperial Line|Promotional film for Frigidaire dealers showing features of the new Imperial Line of refrigerators.|Houses and homes: Kitchens: Refrigerators;Appliances: Sales;Advertising: In-house;|1956|Yes|Yes|00:20:07|1207|Frigidaire Division, General Motors Corporation|Rick Prelinger|English|Ephemeral|11090_34004.gif
3415|A is for Atom|Animated classic presenting what an atom is, how energy is released from certain kinds of atoms, the peacetime uses of atomic energy and the byproducts of nuclear fission.          |Atomic/nuclear: Energy;Physics;Animation;|1953|Yes|Yes|00:14:26|866|General Electric Company|Rick Prelinger|English|Ephemeral|17225_09600.gif
5506|[Television Commercials: Telephone]|Three TV commercials; one set in St. Louis, Missouri, another on Mount Washington, New Hampshire, and a quick review of telephone history.|Communication: Telephone; Advertising: Television commercials; St;  Louis, Missouri;|1970|Yes|No|00:04:02|242|Unknown|Rick Prelinger|English|Ephemeral|Televisi1970_07161.gif
5914|[Gilmore Bros., Aviation Pioneers]|Grass Valley, California: Gilmore Bros. and their planes including cabin model that was never flown but designed in 1908.|Aviation: History;|1931|Yes|No|00:05:08|308|Unknown|Rick Prelinger|English|Ephemeral|GilmoreB1931_02881.gif
3626|Chevrolet Leader News (Vol. 3, No. 1)|Promotional newsreels featuring a variety of Chevrolet-centric stories.|Car culture: Newsreels;Automobiles: Advertising;|1937|Yes|No|00:09:12|552|Chevrolet Division, General Motors Corporation|Rick Prelinger|English|Ephemeral|07848_03001.gif
5754|More Power to You|How oil is drilled, transported, refined, reformulated, and consumed. Narrator: Lowell Thomas.|Oil industry; Occupations: Oil workers; Chemistry;|1930|Yes|No|00:09:08|548|Handy (Jam) Organization|Rick Prelinger|English|Ephemeral|MorePowe1930_00060000.gif
4377|They Call It All-States|Activities at National Farmers Union's summer camp for farm children.|Recreation;Children;|1950|Yes|Yes|00:20:02|1202|National Farmers Union|Rick Prelinger|English|Ephemeral|17371_28201.gif
3802|Free Air|Dramatic depiction of how gasoline and air mix to provide power in the automobile engine.|Automobiles: Engineering;|1937|Yes|No|00:09:38|578|Chevrolet Motor Company|Rick Prelinger|English|Ephemeral|07843_03434.gif
3832|Girl on the Magazine Cover, The|How professional models (and new automobiles) are photographed.|Gender roles;Automobiles: Advertising;Media: Photography;|1940|Yes|No|00:08:48|528|Chevrolet Motor Company|Rick Prelinger|English|Ephemeral|07903_00241.gif
604|The Story of Hoover Dam, segment 03 of 12|Construction of the dam was authorized by Congress in 1928|Hoover Dam;Construction;Dam|1996|Yes|Yes|00:01:07|67|Bureau of Reclamation|Informedia Project|English|Documentary|BOR07_003_01981.gif
4220|Quiet Revolution, The|Shows how Ford earthmoving equipment helps the builders of Levittown, Pennsylvania achieve great economies of scale. With excellent images of home and infrastructure building.|Suburbia;Levittown, Pennsylvania;Houses and homes;|1956|Yes|Yes|00:09:08|548|Ford Motor Company, Tractor and Implement Division|Rick Prelinger|English|Ephemeral|07033_03074.gif
485|Space Works 5, complete video|Six topics are discussed: (1) Unistik Vehicle Controller to help the handicapped, (2) the world's most powerful computer, (3) a plane which changes the shape of its wings during flight, (4) Space Shuttle, (5) testing water from space, and (6) four gr|NASA;Space;|1986|Yes|Yes|00:29:49|1789|NASA CORE|Informedia Project|English|Documentary|NAD30_23998.gif
4516|Working Dollars|Animated explanation of how the stock market works, told through the story of an Everyman named Mr. Finchley|Finance;Investing;Animation: Advertising;|1957|Yes|Yes|00:10:44|644|Members of the New York Stock Exchange|Rick Prelinger|English|Ephemeral|16996_01836.gif
3880|Here's Looking|Visual perception in animals, humans, and from the driver's seat of a Chevrolet.|Perception: Vision;Natural history;Automobiles: Engineering;|1939|Yes|No|00:08:33|513|Chevrolet Motor Company|Rick Prelinger|English|Ephemeral|07890_06588.gif
5161|Journey through a Day|"A young boy in red shirt and blue jeans wanders through the countryside and catches a fish. Poetic documentary-style evocation of a child's awareness of his environment. Producer: Dale Johnson. With: """"Ralph"""" (Boy). In Ektachrome."|Children; Nature; Environment;|1967|Yes|No|00:16:54|1014|Johnson (Dale)|Rick Prelinger|English|Ephemeral|Journeyt1967_00020000.gif
768|Computer Animation of Loma Prieta Aftershocks, segment 03 of 12|A map is used to show a time lapse animation of earthquakes in California in 1989|Earthquakes;|1989|Yes|Yes|00:03:33|213|United States Geological Survey|Informedia Project|English|Documentary|UGS05_003_00481.gif
5579|[Amateur Skating Champs]|National Rollerskating Championships get under way in Oakland Auditorium. Newsreel story.|Newsreels; Sports: Rollerskating; Oakland, California;|1950|Yes|No|00:01:19|79|Universal-International Newsreel|Rick Prelinger|English|Ephemeral|AmateurS1950_00003500.gif
3685|Consuming Women (Women as Consumers)|Strange, highly generalized portrait of the American woman consumer.|Consumerism;Gender roles;|1967|Yes|Yes|00:03:25|205|Procter & Gamble|Rick Prelinger|English|Ephemeral|17835_01561.gif
3621|Chevrolet Leader News (Vol. 1, No. 1)|Promotional newsreels featuring a variety of Chevrolet-centric stories, including: the building of Norris Dam in Tennessee; an automobile racing an ice boat across a lake in Mt. Clemens, Michigan; gasoline economy tests on Detroit streets; women showing off their hairstyles in an automobile moving along New York City streets; the Soap Box Derby at Dayton, Ohio; and a miniature dog riding in the glove compartment of an automobile in San Francisco.|Car culture: Newsreels;|1935|Yes|No|00:08:08|488|Chevrolet Division, General Motors Corporation|Rick Prelinger|English|Ephemeral|07798_13240.gif
5158|Good Table Manners|A bad-mannered 14-year-old meets himself as a young man of 21, and learns the fundamentals of good table manners.|Social guidance: Etiquette; Children;|1951|Yes|No|00:10:19|619|Coronet Instructional Films|Rick Prelinger|English|Ephemeral|GoodTabl1951_00070000.gif
5446|[Knife-Thrower and Children]|Texas: Knife-thrower Louella Gallagher throws knives at her daughters Connie Ann, 5, and Colleena Sue, 2-1/2, missing them skillfully as the knives enter a board. Newsreel story.|Newsreels; Mothers; Surrealism;|1950|Yes|No|00:01:03|63|Universal-International Newsreel|Rick Prelinger|English|Ephemeral|KnifeThr1950_00005500.gif
5051|Girl on the Magazine Cover, The|How professional models (and new automobiles) are photographed.|Gender roles; Automobiles: Advertising; Media: Photography;|1940|Yes|No|00:08:48|528|Handy (Jam) Organization|Rick Prelinger|English|Ephemeral|Girlonth1940_00053000.gif
3915|How You See It|How persistence of vision makes motion pictures possible.|Perception: Vision;Automobiles: Stunts;Motion pictures: Apparatus;|1936|Yes|No|00:07:55|475|Chevrolet Division, General Motors Corporation|Rick Prelinger|English|Ephemeral|07825_01729.gif
815|The Voyage of the Lee, segment 17 of 21|The videocamera captures film footage of the sea floor|Ocean;Geology;|1996|Yes|Yes|00:02:25|145|United States Geological Survey|Informedia Project|English|Documentary|UGS08_017_01801.gif
5431|Shopping Can Be Fun: A New Concept in Merchandising|How the Hillsdale Shopping Center in San Mateo, California increased traffic with a sophisticated program of advertising and promotion. Excellent footage of stores and shoppers in an upscale suburb. Some footage from this film was used in IN THE SUBURBS. Producer and Photographer: George H. Kelley. Kodachrome.|Consumerism; Shopping centers; San Francisco Bay Area: San Mateo County;|1957|Yes|No|00:17:12|1032|Kelley (George H.)|Rick Prelinger|English|Ephemeral|Shopping1957_00073000.gif
4465|We, The People (Willkie & McNary Know Their Farming)|Agriculturally-themed campaign film for Willkie's 1940 presidential campaign.|Political campaigns and elections;Willkie, Wendell A.;Agriculture: Farms and farming;|1940|Yes|No|00:14:43|883|Republican National Committee|Rick Prelinger|English|Ephemeral|16620_16891.gif
4181|Peter Borik|Peter Borik, a farmer, contracts tuberculosis but avoids seeking medical assistance. The film shows the grave consequences of his decision without ever showing Peter himself. |Medicine: Tuberculosis;Medicine: Public health;Agriculture: Farms and farming;|1942|Yes|Yes|00:20:38|1238|Michigan State Department of Health|Rick Prelinger|English|Ephemeral|05219_03044.gif
3965|Knights on the Highway|How drivers (especially truckers) can drive safely at night.|Safety: Truck driving;|1938|Yes|No|00:08:55|535|Chevrolet Motor Company|Rick Prelinger|English|Ephemeral|07865_06721.gif
3431|Air Transportation|Workings of a commercial airline before air travel became a mass phenomenon.|Occupations: Aviation;|1947|Yes|No|00:10:01|601|Vocational Guidance Films, Inc.|Rick Prelinger|English|Ephemeral|01474b_03946.gif
3767|Face in the Mirror (I Wonder), The (Part II)|Introspective psychology for salespeople: 'Would you buy anything from the salesman you see in the mirror?'|Sales training;Psychology;|1940|Yes|No|00:12:57|777|Handy (Jam) Organization|Rick Prelinger|English|Ephemeral|07900b_08281.gif
3714|Desert Venture (Part II)|'This is a story of a venture by American capital in a strange and ancient land,' says the narrator. Shows the search and extraction of oil in Saudi Arabia, necessary to power the American 'nation on wheels.'|Middle East;Oil industry;Globalization;|1958|Yes|Yes|00:14:02|842|Aramco (Arab-American Oil Company) / Standard Oil Company of Californi|Rick Prelinger|English|Ephemeral|10558b_10406.gif
4467|Welcome Guest in the House, A|Tribute to television as servant of the public in the Cold War era.|Media: Television;Cold War;Journalism;|1957|Yes|No|00:23:39|1419|National Association of Broadcasters|Rick Prelinger|English|Ephemeral|16646_25445.gif
5225|Aristocrats of Fashion|Fashions for sport and evening wear, all made from Bemberg rayon. Narration: Muriel Evans. Photography: William Steiner. Art Director: Alfred Pan(?). Sound Engineer: Walter Hicks. Production Manager: S.E. Harrison. With Dorothy Fa(?) (Carol); Francis Goodwin (Jane); Ruth Bra(?) (Alice); Ann Rountree (Gloria); Marjorie Hawthorne (Patsy); Bette Miller (Martha); Helen Dillard. Fashion Director: Tobe. In Technicolor.|Fashion; Synthetics; Models;|1940|Yes|No|00:09:58|598|Reed (Roland) Productions|Rick Prelinger|English|Ephemeral|Aristocr1940_00070000.gif
808|The Voyage of the Lee, segment 10 of 21|The S. P. Lee has problems getting into McMurdo and transfers its crew and supplies at sea|Ocean;Geology;|1996|Yes|Yes|00:03:19|199|United States Geological Survey|Informedia Project|English|Documentary|UGS08_010_04981.gif
3529|At the End of the Rainbow (Part II)|Sponsored film promoting ultraviolet light: its history, physics and health-giving properties.|Medicine: Light therapy;|1946|Yes|Yes|00:11:46|706|Sun-Kraft Corporation|Rick Prelinger|English|Ephemeral|07977b_16321.gif
5636|[Previews of Coming Attractions trailer]|Old movie trailer with fanfare, opening door, animation and title: Previews of Coming Attractions.|Motion pictures: Trailers;|1940|Yes|No|00:19:00|1140|Unknown|Rick Prelinger|English|Ephemeral|Previews1940_00000500.gif
3973|Let Yourself Go|How architecture, furniture and transportation have been designed to help Americans relax.|Psychology;Design;Stress;|1940|Yes|No|00:08:37|517|Chevrolet Division, General Motors Corporation|Rick Prelinger|English|Ephemeral|07911_01681.gif
3503|American Frontier (Part I)|Humanistic film showing the effects of an oil discovery on Williston, North Dakota and the surrounding region.|Rural America;Oil industry;North Dakota;|1953|Yes|No|00:12:37|757|American Petroleum Institute, Oil Industry Information Committee|Rick Prelinger|English|Ephemeral|08986a_06601.gif
4012|Making of a Shooter|This Kodachrome film shows how a teenage boy learns to become a safe and accurate shooter. Famous riflemen appearing include Ned Lilly, Dick Shaughnessy, Thurman Randle, and Fred Armstrong.|Hunting;Guns and ammunition;Sports: Hunting;|1946|Yes|Yes|00:24:10|1450|Sporting Arms and Ammunition Manufacturers' Institute|Rick Prelinger|English|Ephemeral|13197_16921.gif
5364|Who Shall Reap?|Insects or humans?  Weeds, diseases, and other pestilence that confound farmers and threaten the world's food supply.|Agriculture: Herbicides and pesticides; Insects; Animals: Diseases;|1969|Yes|No|00:28:01|1681|U.S. Department of Agriculture, Motion Picture Service|Rick Prelinger|English|Ephemeral|WhoShall1969_00090000.gif
751|The Future of Energy Gases, segment 10 of 13|The process of estimating natural gas supplies is discussed|Natural Gas;Acid Rain;|1993|Yes|Yes|00:02:51|171|United States Geological Survey|Informedia Project|English|Documentary|UGS03_010_01501.gif
645|Lake Powell, segment 04 of 11|The Glen Canyon power plant produces enough electricity for a city of over one million people|Construction;Dam|1997|Yes|Yes|00:01:36|96|Bureau of Reclamation|Informedia Project|English|Documentary|BOR17_004_01081.gif
5154|[Trip Down Market Street Before the Fire, A]|"Pictures San Francisco's main thoroughfare as seen from the front window of a moving Market Street cable car, before the downtown area was destroyed in the 1906 earthquake and fire.  This unusual record has been called the first """"structural film"""" because it follows exactly the externally imposed structure of the car ride."|San Francisco: Scenics: Historical; Transportation: Cable cars; Landscapes: Cultural;|1905|Yes|No|00:13:52|832|Unknown|Rick Prelinger|English|Ephemeral|TripDown1905_00093000.gif
3562|#Bfl O {ggGX  = STwWcfl x 2s4 (Calvin Workshop)|Spoofy look at the motion-picture production process, made to encourage discussion among filmmakers.|Motion pictures: Production;Animals: Chimpanzees;|1963|Yes|Yes|00:06:35|395|Calvin Workshop|Rick Prelinger|English|Ephemeral|01680_07023.gif
793|Oceanfloor Legacy, segment 09 of 14|The sampling team includes biologists - the seismic reflection system is an important tool|Ocean;Radioactive waste;San Francisco;|1991|Yes|Yes|00:01:10|70|United States Geological Survey|Informedia Project|English|Documentary|UGS07_009_00961.gif
5218|[Bongo Boards]|Palo Alto, California: Models in swimsuits gyrate on Bongo Boards. Newsreel story.|Newsreels; Gender roles; Stunts;|1950|Yes|No|00:32:00|1920|Universal-International Newsreel|Rick Prelinger|English|Ephemeral|BongoBoa1950_00001.gif
3659|Close Harmony|Discussion on the need for unity between labor and management as the U.S. mobilizes for World War II.|World War II: Homefront;World War II: Industrial production;Race relations;|1942|Yes|No|00:10:35|635|General Motors Corporation|Rick Prelinger|English|Ephemeral|07934_10232.gif
